	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
against	0.000	3.000	3.000	3.000	0.000	0.000	0.000
handling	0.000	3.000	3.000	3.000	0.000	0.000	0.000
transformer	1.000	4.000	3.000	5.000	0.000	0.001	0.000
optimized	0.000	3.000	3.000	3.000	0.000	0.000	0.000
optimal	1.000	4.000	3.000	5.000	0.000	0.001	0.000
continuous	2.000	5.000	3.000	7.000	0.000	0.001	0.000
consistent	1.000	4.000	3.000	5.000	0.000	0.001	0.000
zeroshot	11.000	14.000	3.000	25.000	0.002	0.002	0.000
reasoning	4.000	7.000	3.000	11.000	0.001	0.001	0.000
group	1.000	4.000	3.000	5.000	0.000	0.001	0.000
rcnn	0.000	3.000	3.000	3.000	0.000	0.000	0.000
photometric	3.000	5.000	2.000	8.000	0.000	0.001	0.000
separating	0.000	2.000	2.000	2.000	0.000	0.000	0.000
pixels	1.000	3.000	2.000	4.000	0.000	0.000	0.000
deeper	0.000	2.000	2.000	2.000	0.000	0.000	0.000
sentiment	0.000	2.000	2.000	2.000	0.000	0.000	0.000
parameter	0.000	2.000	2.000	2.000	0.000	0.000	0.000
nonrigid	3.000	5.000	2.000	8.000	0.000	0.001	0.000
pixel	1.000	3.000	2.000	4.000	0.000	0.000	0.000
pixelwise	1.000	3.000	2.000	4.000	0.000	0.000	0.000
classifier	3.000	5.000	2.000	8.000	0.000	0.001	0.000
perturbations	1.000	3.000	2.000	4.000	0.000	0.000	0.000
capturing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
planar	0.000	2.000	2.000	2.000	0.000	0.000	0.000
discovering	1.000	3.000	2.000	4.000	0.000	0.000	0.000
optimizing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
or	1.000	3.000	2.000	4.000	0.000	0.000	0.000
cycle	0.000	2.000	2.000	2.000	0.000	0.000	0.000
net	2.000	4.000	2.000	6.000	0.000	0.001	0.000
smile	0.000	2.000	2.000	2.000	0.000	0.000	0.000
cut	0.000	2.000	2.000	2.000	0.000	0.000	0.000
error	0.000	2.000	2.000	2.000	0.000	0.000	0.000
every	0.000	2.000	2.000	2.000	0.000	0.000	0.000
shadow	1.000	3.000	2.000	4.000	0.000	0.000	0.000
evidence	0.000	2.000	2.000	2.000	0.000	0.000	0.000
explanations	0.000	2.000	2.000	2.000	0.000	0.000	0.000
oneclass	0.000	2.000	2.000	2.000	0.000	0.000	0.000
explaining	0.000	2.000	2.000	2.000	0.000	0.000	0.000
categorization	0.000	2.000	2.000	2.000	0.000	0.000	0.000
denoising	4.000	6.000	2.000	10.000	0.001	0.001	0.000
detector	3.000	5.000	2.000	8.000	0.000	0.001	0.000
patches	0.000	2.000	2.000	2.000	0.000	0.000	0.000
size	0.000	2.000	2.000	2.000	0.000	0.000	0.000
lightweight	0.000	2.000	2.000	2.000	0.000	0.000	0.000
singleimage	1.000	3.000	2.000	4.000	0.000	0.000	0.000
oneshot	3.000	5.000	2.000	8.000	0.000	0.001	0.000
like	0.000	2.000	2.000	2.000	0.000	0.000	0.000
perception	0.000	2.000	2.000	2.000	0.000	0.000	0.000
occluded	0.000	2.000	2.000	2.000	0.000	0.000	0.000
density	3.000	5.000	2.000	8.000	0.000	0.001	0.000
shutter	1.000	3.000	2.000	4.000	0.000	0.000	0.000
lowbit	0.000	2.000	2.000	2.000	0.000	0.000	0.000
challenge	0.000	2.000	2.000	2.000	0.000	0.000	0.000
shortcut	0.000	2.000	2.000	2.000	0.000	0.000	0.000
dialogs	0.000	2.000	2.000	2.000	0.000	0.000	0.000
slice	0.000	2.000	2.000	2.000	0.000	0.000	0.000
openset	0.000	2.000	2.000	2.000	0.000	0.000	0.000
sliced	0.000	2.000	2.000	2.000	0.000	0.000	0.000
defense	0.000	2.000	2.000	2.000	0.000	0.000	0.000
objective	0.000	2.000	2.000	2.000	0.000	0.000	0.000
localized	0.000	2.000	2.000	2.000	0.000	0.000	0.000
local	8.000	10.000	2.000	18.000	0.001	0.001	0.000
scenes	8.000	10.000	2.000	18.000	0.001	0.001	0.000
equivariant	0.000	2.000	2.000	2.000	0.000	0.000	0.000
effective	2.000	4.000	2.000	6.000	0.000	0.001	0.000
pseudo	0.000	2.000	2.000	2.000	0.000	0.000	0.000
complementary	0.000	2.000	2.000	2.000	0.000	0.000	0.000
meets	0.000	2.000	2.000	2.000	0.000	0.000	0.000
retinex	0.000	2.000	2.000	2.000	0.000	0.000	0.000
rethinking	0.000	2.000	2.000	2.000	0.000	0.000	0.000
restoration	3.000	5.000	2.000	8.000	0.000	0.001	0.000
multidomain	0.000	2.000	2.000	2.000	0.000	0.000	0.000
correlation	6.000	8.000	2.000	14.000	0.001	0.001	0.000
composition	1.000	3.000	2.000	4.000	0.000	0.000	0.000
multicamera	1.000	3.000	2.000	4.000	0.000	0.000	0.000
compressed	0.000	2.000	2.000	2.000	0.000	0.000	0.000
mrf	0.000	2.000	2.000	2.000	0.000	0.000	0.000
ranking	2.000	4.000	2.000	6.000	0.000	0.001	0.000
driven	0.000	2.000	2.000	2.000	0.000	0.000	0.000
realistic	0.000	2.000	2.000	2.000	0.000	0.000	0.000
embeddings	2.000	4.000	2.000	6.000	0.000	0.001	0.000
control	0.000	2.000	2.000	2.000	0.000	0.000	0.000
contrast	0.000	2.000	2.000	2.000	0.000	0.000	0.000
edit	0.000	2.000	2.000	2.000	0.000	0.000	0.000
contours	0.000	2.000	2.000	2.000	0.000	0.000	0.000
relevance	0.000	2.000	2.000	2.000	0.000	0.000	0.000
relaxation	0.000	2.000	2.000	2.000	0.000	0.000	0.000
monet	0.000	2.000	2.000	2.000	0.000	0.000	0.000
recognizing	0.000	2.000	2.000	2.000	0.000	0.000	0.000
